Selling  Price (in $),Status,,
"209,164.00",Pending State,Mean,"298,380.35"
"281,528.00",Pending State,Median,"290,088.00"
"104,396.00",For Sale,Mode,314967
"386,939.00",Sold,,
"423,951.00",Pending State,Standard Deviation,112003.3234
"230,030.00",Sold,Variance,12544744458
"284,639.00",Pending State,,
"456,422.00",For Sale,Confidence Interval,
"484,149.00",For Sale,Lower Interval,"276,269.49"
"393,658.00",Pending State,Upper Interval,"320,491.21"
"346,884.00",For Sale,,
"185,595.00",Sold,,
"197,287.00",For Sale,Sample Size,101
"236,060.00",Pending State,Critical Value,1.983971519
"237,284.00",For Sale,Margin of Error,22110.86107
"257,705.00",Pending State,,
"267,279.00",For Sale,,
"308,563.00",Pending State,,
"221,202.00",For Sale,,
"133,219.00",Pending State,,
"242,829.00",Pending State,,
"146,754.00",Pending State,,
"294,977.00",For Sale,,
"388,598.00",Pending State,,
"103,041.00",Pending State,,
"324,433.00",Sold,,
"398,106.00",Pending State,,
"450,262.00",Pending State,,
"447,460.00",Pending State,,
"279,163.00",For Sale,,
"276,572.00",Sold,,
"342,244.00",For Sale,,
"469,754.00",For Sale,,
"441,342.00",Sold,,
"463,329.00",Pending State,,
"216,263.00",Pending State,,
"198,839.00",Sold,,
"470,826.00",For Sale,,
"435,960.00",For Sale,,
"379,179.00",For Sale,,
"377,693.00",For Sale,,
"442,282.00",Pending State,,
"147,743.00",Sold,,
"136,937.00",Pending State,,
"468,409.00",Sold,,
"289,040.00",Sold,,
"487,635.00",Sold,,
"153,537.00",For Sale,,
"414,622.00",For Sale,,
"369,909.00",Pending State,,
"179,195.00",Sold,,
"112,828.00",Sold,,
"193,976.00",Pending State,,
"369,280.00",For Sale,,
"324,365.00",For Sale,,
"228,929.00",Pending State,,
"267,637.00",Pending State,,
"333,234.00",Sold,,
"108,163.00",Sold,,
"432,375.00",Sold,,
"351,974.00",Pending State,,
"278,608.00",Pending State,,
"250,016.00",Pending State,,
"448,422.00",Pending State,,
"404,677.00",Pending State,,
"335,798.00",Sold,,
"494,373.00",Pending State,,
"273,693.00",For Sale,,
"211,617.00",For Sale,,
"408,636.00",For Sale,,
"304,847.00",For Sale,,
"238,621.00",For Sale,,
"167,726.00",For Sale,,
"244,258.00",Pending State,,
"449,026.00",Pending State,,
"290,088.00",Sold,,
"144,877.00",Sold,,
"140,735.00",Pending State,,
"282,717.00",Pending State,,
"295,552.00",Sold,,
"374,823.00",For Sale,,
"398,978.00",Pending State,,
"281,454.00",Pending State,,
"152,329.00",Sold,,
"405,607.00",For Sale,,
"178,315.00",Pending State,,
"402,064.00",For Sale,,
"136,099.00",Sold,,
"350,567.00",Sold,,
"342,402.00",Sold,,
"211,391.00",Sold,,
"136,279.00",Sold,,
"189,208.00",Pending State,,
"489,451.00",Sold,,
"128,416.00",Sold,,
"367,584.00",Sold,,
"332,520.00",Sold,,
"107,040.00",For Sale,,
"252,019.00",For Sale,,
"314,967.00",Sold,,
"314,967.00",Pending State,,